Algorithm,DataType,Size,TimeMicroseconds,Comparisons
StandardMergeSort,Random,2800,4290.6,43217
TernaryQuickSort,Random,2800,2249.1,31728
StringMergeSort,Random,2800,33977.5,25703
MSDRadixSort,Random,2800,5349.2,0
MSDRadixSortWithCutoff,Random,2800,2134.6,12917
StandardQuickSort,Random,2900,3310,57422
StandardMergeSort,Random,2900,4419.9,44805
TernaryQuickSort,Random,2900,2503.4,35078
StringMergeSort,Random,2900,35158.5,26840
MSDRadixSort,Random,2900,5524.5,0
MSDRadixSortWithCutoff,Random,2900,2196,13481
StandardQuickSort,Random,3000,3495,62515
StandardMergeSort,Random,3000,4566,46528
TernaryQuickSort,Random,3000,2444.9,34531
StringMergeSort,Random,3000,36249.4,27874
MSDRadixSort,Random,3000,5781.9,0
MSDRadixSortWithCutoff,Random,3000,2277.1,14098
StandardQuickSort,ReverseSorted,100,52.55,930
StandardMergeSort,ReverseSorted,100,90.8,507
TernaryQuickSort,ReverseSorted,100,65,1017
StringMergeSort,ReverseSorted,100,797.25,373
MSDRadixSort,ReverseSorted,100,182.45,0
MSDRadixSortWithCutoff,ReverseSorted,100,138.3,1331
StandardQuickSort,ReverseSorted,200,115.95,2074
StandardMergeSort,ReverseSorted,200,186.35,1113
TernaryQuickSort,ReverseSorted,200,155.8,2426
StringMergeSort,ReverseSorted,200,1759.3,772
MSDRadixSort,ReverseSorted,200,373.15,0
MSDRadixSortWithCutoff,ReverseSorted,200,272.25,2799
StandardQuickSort,ReverseSorted,300,185.8,3596
StandardMergeSort,ReverseSorted,300,308.2,1736
TernaryQuickSort,ReverseSorted,300,253.75,3806
StringMergeSort,ReverseSorted,300,2821.2,1164
MSDRadixSort,ReverseSorted,300,541.85,0
MSDRadixSortWithCutoff,ReverseSorted,300,418.35,4292
StandardQuickSort,ReverseSorted,400,239.95,4579
StandardMergeSort,ReverseSorted,400,424.4,2417
TernaryQuickSort,ReverseSorted,400,446.15,6671
StringMergeSort,ReverseSorted,400,3834.95,1536
MSDRadixSort,ReverseSorted,400,734.1,0
MSDRadixSortWithCutoff,ReverseSorted,400,572.5,5884
StandardQuickSort,ReverseSorted,500,296.05,5536
StandardMergeSort,ReverseSorted,500,543.45,3158
TernaryQuickSort,ReverseSorted,500,545.5,8149
StringMergeSort,ReverseSorted,500,4716.7,1877
MSDRadixSort,ReverseSorted,500,946.2,0
MSDRadixSortWithCutoff,ReverseSorted,500,704.75,7178
StandardQuickSort,ReverseSorted,600,385.9,7823
StandardMergeSort,ReverseSorted,600,656.3,3818
TernaryQuickSort,ReverseSorted,600,777.4,11466
StringMergeSort,ReverseSorted,600,6148.4,2368
MSDRadixSort,ReverseSorted,600,1126.6,0
MSDRadixSortWithCutoff,ReverseSorted,600,856.2,8903
StandardQuickSort,ReverseSorted,700,451.7,8939
StandardMergeSort,ReverseSorted,700,755.5,4576
TernaryQuickSort,ReverseSorted,700,968.5,14187
StringMergeSort,ReverseSorted,700,7186.3,2774
MSDRadixSort,ReverseSorted,700,1329.6,0
MSDRadixSortWithCutoff,ReverseSorted,700,1020.7,10490
StandardQuickSort,ReverseSorted,800,508.3,10092
StandardMergeSort,ReverseSorted,800,863.4,5381
TernaryQuickSort,ReverseSorted,800,1130.2,16643
StringMergeSort,ReverseSorted,800,8140.7,3109
MSDRadixSort,ReverseSorted,800,1530.5,0
MSDRadixSortWithCutoff,ReverseSorted,800,1176.7,12203
StandardQuickSort,ReverseSorted,900,568.6,11164
StandardMergeSort,ReverseSorted,900,1084.6,6232
TernaryQuickSort,ReverseSorted,900,1415.2,20677
StringMergeSort,ReverseSorted,900,9293.7,3465
MSDRadixSort,ReverseSorted,900,1725.9,0
MSDRadixSortWithCutoff,ReverseSorted,900,1295.4,13768
StandardQuickSort,ReverseSorted,1000,619.3,12277
StandardMergeSort,ReverseSorted,1000,1201.1,6870
TernaryQuickSort,ReverseSorted,1000,1672.1,24495
StringMergeSort,ReverseSorted,1000,10219.6,3777
MSDRadixSort,ReverseSorted,1000,1977.2,0
MSDRadixSortWithCutoff,ReverseSorted,1000,1475.3,15628
StandardQuickSort,ReverseSorted,1100,758.4,15708
StandardMergeSort,ReverseSorted,1100,1344.8,7574
TernaryQuickSort,ReverseSorted,1100,1939.9,28314
StringMergeSort,ReverseSorted,1100,11913.8,4202
MSDRadixSort,ReverseSorted,1100,2124.7,0
MSDRadixSortWithCutoff,ReverseSorted,1100,1602.7,17065
StandardQuickSort,ReverseSorted,1200,817.3,16948
StandardMergeSort,ReverseSorted,1200,1462.5,8339
TernaryQuickSort,ReverseSorted,1200,2183.9,31984
StringMergeSort,ReverseSorted,1200,13238.5,4739
MSDRadixSort,ReverseSorted,1200,2313.5,0
MSDRadixSortWithCutoff,ReverseSorted,1200,1799.7,18746
StandardQuickSort,ReverseSorted,1300,873.4,18185
StandardMergeSort,ReverseSorted,1300,1573,9164
TernaryQuickSort,ReverseSorted,1300,2477,36318
StringMergeSort,ReverseSorted,1300,14540.6,5117
MSDRadixSort,ReverseSorted,1300,2496.1,0
MSDRadixSortWithCutoff,ReverseSorted,1300,1917,20094
StandardQuickSort,ReverseSorted,1400,948.3,19321
StandardMergeSort,ReverseSorted,1400,1703,9918
TernaryQuickSort,ReverseSorted,1400,2740.4,40005
StringMergeSort,ReverseSorted,1400,15604.6,5604
MSDRadixSort,ReverseSorted,1400,2655.9,0
MSDRadixSortWithCutoff,ReverseSorted,1400,2060.3,21784
StandardQuickSort,ReverseSorted,1500,999.7,20582
StandardMergeSort,ReverseSorted,1500,1830.9,10685
TernaryQuickSort,ReverseSorted,1500,3068.7,44657
StringMergeSort,ReverseSorted,1500,16454.7,5977
MSDRadixSort,ReverseSorted,1500,2887.6,0
MSDRadixSortWithCutoff,ReverseSorted,1500,2218.2,23377
StandardQuickSort,ReverseSorted,1600,1070.8,21766
StandardMergeSort,ReverseSorted,1600,1955.9,11594
